ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.6 out of 5 stars,JessicaOrtner,"The Tapping Solution for Weight Loss & Body Confidence: A Woman's Guide to Stressing Less, Weighing Less, and Loving More ",Rs.407.85,78,$24.95,$24.95
4.5 out of 5 stars,DanHarris,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works--A True Story ",Rs.438.50,735,$14.99,$25.99
4.8 out of 5 stars,A.D.Justice,Wicked Ties (Steele Security Series Book 2) ,Rs.241.00,59,,$17.99
4.6 out of 5 stars,SusanDworkin,The Nazi Officer's Wife: How One Jewish Woman Survived The Holocaust ,Rs.118.85,1545,$1.98,$15.99
4.7 out of 5 stars,CharlesKrauthammer,"Things That Matter: Three Decades of Passions, Pastimes and Politics ",Rs.656.90,3221,$27.81,$28.00
3.9 out of 5 stars,S.J.Scott,Habit Stacking: 97 Small Life Changes That Take Five Minutes or Less ,Rs.183.00,112,,$6.99
4.8 out of 5 stars,CraigCallenderRalphEdney,Introducing Time: A Graphic Guide (Introducing...) ,Rs.139.65,,$6.94,
3.9 out of 5 stars,BobBermanRobertLanza,Biocentrism: How Life and Consciousness are the Keys to Understanding the True Nature of the Universe ,Rs.118.95,290,$11.21,$14.95
4.2 out of 5 stars,,Behold a Pale Horse ,Rs.747.50,468,$22.80,$25.00
4.5 out of 5 stars,,UFOs for the 21st Century Mind: A Fresh Guide to an Ancient Mystery ,Rs.615.00,52,,$24.95
4.5 out of 5 stars,,Hidden In Plain Sight 2: The equation of the universe ,Rs.56.00,64,,$9.99
3.8 out of 5 stars,ThomasNagel,Mind and Cosmos: Why the Materialist Neo-Darwinian Conception of Nature Is Almost Certainly False ,Rs.533.47,148,,$24.95
3.8 out of 5 stars,LisaRandall,Higgs Discovery: The Power of Empty Space (Kindle Single) ,Rs.139.00,160,$7.88,$9.99
4.5 out of 5 stars,HenryS.F.Cooper,Thirteen: The Apollo Flight That Failed ,Rs.237.00,25,,$22.00
4.3 out of 5 stars,StephenC.Meyer,Darwin's Doubt: The Explosive Origin of Animal Life and the Case for Intelligent Design ,Rs.413.87,,$15.76,$19.99
3.7 out of 5 stars,,For The Moon Is Hollow And Aliens Rule The Sky ,Rs.183.00,15,,$10.99
4.0 out of 5 stars,,A Universe from Nothing: Why There Is Something Rather than Nothing ,Rs.349.50,617,$14.79,$15.00
4.1 out of 5 stars,KatherineFreese,The Cosmic Cocktail: Three Parts Dark Matter (Science Essentials) ,Rs.959.39,7,$29.86,$29.95
4.7 out of 5 stars,DoloresCannon,The Three Waves of Volunteers and the New Earth ,Rs.399.00,151,,$18.00
4.6 out of 5 stars,NeildeGrasseTyson,Death by Black Hole: And Other Cosmic Quandaries ,Rs.518.21,180,$15.95,$15.95
,MikeShepherd,Vicky Peterwald: Target ,$5.88,,$7.85,
4.3 out of 5 stars,,DNA of the Gods: The Anunnaki Creation of Eve and the Alien Battle for Humanity ,Rs.592.72,19,$17.74,$18.00
,CharlesStross,The Rhesus Chart: A Laundry Files novel ,$11.07,,$18.69,$26.95
4.3 out of 5 stars,,Lore of Witch World: Witch World Collection of Stories (Witch World Series) ,$1.61,65,,
,DavidL.Golemon,Overlord (Event Group Thrillers) ,$12.90,,$27.80,$26.99
,,Jack Strong: A Story of Life after Life ,$1.57,,,
,VaughnHeppner,"Alien Shores (A Fenris Novel, Book 2) ",$4.96,,,
4.4 out of 5 stars,AndreNorton,"The Sword Is Drawn (The Lorens Van Norreys Series, 1) ",$1.61,5,,
4.1 out of 5 stars,JohnBarnes,"Patton's Spaceship (The Timeline Wars, 1) ",$1.97,16,,
,,Last Orders: The War That Came Early ,$11.63,,$27.50,$28.00
4.0 out of 5 stars,JohnBarnes,"Caesar's Bicycle (The Timeline Wars, 3) ",$1.97,5,,
,EvanCurrie,"Out of the Black (Odyssey One, Book 4) ",$4.96,,,
,RichardPhillips,Once Dead (A Ripper/Rho Agenda Novel) ,$4.99,,,
4.6 out of 5 stars,SaraKing,Fortune's Rising (Outer Bounds) ,$3.99,144,,
,DimaZales,The Spell Realm (The Sorcery Code: Volume 2) ,$2.97,,,
4.6 out of 5 stars,VaughnHeppner,Invasion: China (Invasion America Book 5) ,Rs.244.00,48,,$14.99
4.1 out of 5 stars,StevenKonkoly,The Jakarta Pandemic: Prequel to The Perseid Collapse Post Apocalyptic Series ,Rs.309.00,482,,$16.99
4.0 out of 5 stars,AlyssaKress,The Fiancée Fiasco ,Rs.62.00,11,,
4.5 out of 5 stars,B.V.Larson,Storm Assault (Star Force Series) ,Rs.360.00,219,,$11.99
4.7 out of 5 stars,LindsayBuroker,Encrypted ,Rs.149.00,115,,$12.99
4.7 out of 5 stars,RykBrown,"Ep.#8 - ""Celestia: CV-02"" (The Frontiers Saga) ",Rs.182.00,342,,$12.28
4.7 out of 5 stars,,50 Children: One Ordinary American Couple's Extraordinary Rescue Mission into the Heart of Nazi Germany ,Rs.387.92,77,$14.99,$26.99
4.4 out of 5 stars,NonnaBannisterDeniseGeorge,The Secret Holocaust Diaries: The Untold Story of Nonna Bannister ,Rs.358.04,629,,$14.99
4.7 out of 5 stars,BenMacintyre,A Spy Among Friends: Kim Philby and the Great Betrayal ,Rs.173.19,25,$3.31,$27.00
3.9 out of 5 stars,AngusDeaton,"The Great Escape: Health, Wealth, and the Origins of Inequality ",Rs.590.55,27,$29.86,$29.95
4.5 out of 5 stars,E.H.Gombrich,A Little History of the World ,Rs.432.01,,$14.68,$15.00
4.0 out of 5 stars,StephenE.Ambrose,"D-Day: June 6, 1944:  The Climactic Battle of World War II ",Rs.402.80,,$19.85,$19.99
4.6 out of 5 stars,ThomasHarding,Hanns and Rudolf: The True Story of the German Jew Who Tracked Down and Caught the Kommandant of Auschwitz ,Rs.709.65,,$25.82,$26.00
3.5 out of 5 stars,WilliamK.KlingamanNicholasP.Klingaman,The Year Without Summer: 1816 and the Volcano That Darkened the World and Changed History ,Rs.531.38,51,$16.99,$15.99
4.5 out of 5 stars,,Amidst the Shadows of Trees: A Holocaust Child's Survival in the Partisans ,Rs.196.00,51,,$18.95
4.3 out of 5 stars,,"The Deal: Churchill, Truman, and Stalin Remake the World ",Rs.584.00,23,,
4.2 out of 5 stars,,The Twilight of the American Enlightenment: The 1950s and the Crisis of Liberal Belief ,Rs.776.44,5,$20.19,$26.99
4.3 out of 5 stars,,A World at Arms ,"Rs.1,244.09",33,$28.00,$34.99
4.2 out of 5 stars,GregoryClark,The Son Also Rises: Surnames and the History of Social Mobility (The Princeton Economic History of the Western World) ,Rs.959.39,15,$29.86,$29.95
3.8 out of 5 stars,,Canterbury Tales ,Rs.55.94,53,,$21.00
4.4 out of 5 stars,JohnAshdown-Hill,The Last Days of Richard III and the fate of his DNA: The Book that Inspired the Dig ,Rs.159.00,64,,$17.95
4.0 out of 5 stars,,Kim Philby: The Unknown Story of the KGB's Master Spy ,Rs.443.69,4,$8.99,$29.95
4.3 out of 5 stars,MartinBuber,"I and Thou, Trans. Kaufmann ",Rs.58.90,72,$6.68,$7.50
4.3 out of 5 stars,,1919 Versailles: The End of the War to End All Wars ,Rs.584.00,15,,
4.4 out of 5 stars,BennSteil,"The Battle of Bretton Woods: John Maynard Keynes, Harry Dexter White, and the Making of a New World Order (Council on Foreign Relations Books (Princeton University Press)) ",Rs.597.13,82,$19.89,$19.95
4.2 out of 5 stars,SeanMcMeekin,July 1914: Countdown to War ,Rs.444.11,80,$13.46,$17.99
4.5 out of 5 stars,,The Burning Shore: How Hitler's U-Boats Brought World War II to America ,Rs.895.99,17,$20.93,$27.99
4.7 out of 5 stars,DavidBarrie,Sextant: A Young Man's Daring Sea Voyage and the Men Who Mapped the World's Oceans ,Rs.761.50,3,$17.87,$25.99
4.0 out of 5 stars,G.J.Meyer,The Tudors: The Complete Story of England's Most Notorious Dynasty ,Rs.541.48,150,$18.00,$18.00
4.5 out of 5 stars,AminMaalouf,The Crusades Through Arab Eyes (Saqi Essentials) ,Rs.310.00,119,$6.86,$17.95
4.5 out of 5 stars,LaneySalisbury,Provenance: How a Con Man and a Forger Rewrote the History of Modern Art ,Rs.529.86,97,$16.88,$17.00
4.0 out of 5 stars,RichardBreitman,FDR and the Jews ,Rs.959.39,41,$29.52,$29.95
3.4 out of 5 stars,JonathanFalconer,Life as a Battle of Britain Pilot ,Rs.49.00,,,$9.95
4.5 out of 5 stars,EricSchlosser,Command and Control ,Rs.409.00,,,$32.99
4.1 out of 5 stars,MitchellStephens,Imagine There's No Heaven: How Atheism Helped Create the Modern World ,Rs.761.50,15,$29.78,$30.00
3.8 out of 5 stars,,The Fifteen Decisive Battles of The World From Marathon to Waterloo [Illustrated] ,Rs.54.34,67,,$12.95
4.5 out of 5 stars,WallaceStegner,Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West ,Rs.700.15,38,$17.88,$18.00
4.1 out of 5 stars,IsraelFinkelsteinNeilAsherSilberman,The Bible Unearthed: Archaeology's New Vision of Ancient Isreal and the Origin of Sacred Texts ,Rs.349.50,181,$16.76,$17.00
4.8 out of 5 stars,MosheHalbertal,Maimonides: Life and Thought ,"Rs.1,150.62",14,$34.89,$35.00
4.4 out of 5 stars,GeoffreyParker,Global Crisis ,"Rs.1,380.74",23,$39.72,$45.00
3.9 out of 5 stars,NiallFerguson,Empire: How Britain Made the Modern World ,Rs.189.05,134,,$19.95
3.8 out of 5 stars,DennisE.Showalter,Armor and Blood: The Battle of Kursk: The Turning Point of World War II ,Rs.716.67,48,$27.81,$28.00
4.5 out of 5 stars,,The Guns of August: The Classic Bestselling Account of the Outbreak of the First World War ,Rs.314.18,508,,$7.99
4.2 out of 5 stars,ChristopherLascelles,A Short History of the World ,Rs.399.00,107,,$13.99
4.8 out of 5 stars,,On a Sea So Cold & Still: The Titanic-A Centennial Reader ,Rs.277.67,19,,
4.3 out of 5 stars,BenJudah,Fragile Empire: How Russia Fell In and Out of Love with Vladimir Putin ,Rs.889.38,20,$29.57,$22.00
4.3 out of 5 stars,FlorenceDitlow,The Bakery Girls ,Rs.399.00,15,,$17.95
4.0 out of 5 stars,SamanthaPower,A Problem From Hell: America and the Age of Genocide (A New Republic book) ,Rs.592.72,238,$14.30,$18.99
4.2 out of 5 stars,,The Cambridge Medieval History volumes 1-5 ,Rs.273.88,25,,
4.7 out of 5 stars,,Frederick the Great: A Military History ,Rs.367.29,3,$8.45,$50.00
4.7 out of 5 stars,PhilLapsley,Exploding the Phone: The Untold Story of the Teenagers and Outlaws who Hacked Ma Bell ,Rs.770.71,130,$19.44,$18.00
4.0 out of 5 stars,MaximLeo,Red Love: The Story of an East German Family ,Rs.214.09,3,$4.09,$25.00
4.1 out of 5 stars,RebeccaGoldstein,Betraying Spinoza: The Renegade Jew Who Gave Us Modernity (Jewish Encounters) ,Rs.597.13,62,$14.85,$14.95
4.3 out of 5 stars,WilliamsonMurray,Moment of Battle: The Twenty Clashes That Changed the World ,Rs.634.60,,$29.79,$30.00
4.1 out of 5 stars,,The Oxford History of the French Revolution ,Rs.597.13,17,$11.64,$22.99
4.2 out of 5 stars,JohnLewisGaddis,The Cold War: A New History ,Rs.529.86,113,$16.76,$17.00
4.6 out of 5 stars,JudyNichols,"Titanic A to Z, The Story of the World's Most Famous Shipwreck ",Rs.112.44,34,,
4.2 out of 5 stars,,"City of Lies: Love, Sex, Death and  the Search for Truth in Tehran ",Rs.349.50,4,$11.61,$26.99
3.9 out of 5 stars,,Darwin's Odyssey: The Voyage of the Beagle (Kindle Single) ,Rs.183.00,,,
3.9 out of 5 stars,,Belisarius: The Last Roman General ,Rs.112.53,18,,
3.2 out of 5 stars,GabrielMonodCharlesBémont,"Medieval Europe, 395-1270 ",Rs.55.09,25,,
4.8 out of 5 stars,AdamMakos,A Higher Call: The Incredible True Story of Heroism and Chivalry during the Second World War ,Rs.178.00,1902,,$17.00
4.0 out of 5 stars,,The Point of Death (An Elizabethan Murder Mystery) ,Rs.299.00,6,,$29.99
3.0 out of 5 stars,,The Realm: The True history behind Game of Thrones ,Rs.179.00,6,,
4.4 out of 5 stars,AllenB.Clark,"Valor in Vietnam: Chronicles of Honor, Courage, and Sacrifice: 1963-1977 ",Rs.356.00,103,,$29.95
4.3 out of 5 stars,EzraF.Vogel,Deng Xiaoping and the Transformation of China ,Rs.776.44,74,$22.79,$22.95
3.8 out of 5 stars,CraigNelson,The Age of Radiance: The Epic Rise and Dramatic Fall of the Atomic Era ,Rs.761.50,,$29.78,$29.99
3.7 out of 5 stars,,Josephus Flavius: Complete Works and Historical Background (Annotated and Illustrated) (Annotated Classics) ,Rs.110.73,17,,
3.8 out of 5 stars,,The Story of the Goths (Illustrated) ,Rs.58.00,8,,$30.99
4.3 out of 5 stars,,From the Shadows: The Ultimate Insider's Story of Five Presidents an ,Rs.349.50,39,$18.99,$18.99
4.2 out of 5 stars,G.J.Meyer,The Borgias: The Hidden History ,Rs.636.50,123,$17.88,$18.00
4.1 out of 5 stars,JohnKelly,"The Great Mortality: An Intimate History of the Black Death, the Most Devastating Plague of All Time (P.S.) ",Rs.433.91,130,$12.99,$14.99
4.3 out of 5 stars,,A History of the World in 100 Objects ,Rs.294.00,,,$30.00
4.4 out of 5 stars,SusanWiseBauer,The History of the Medieval World: From the Conversion of Constantine to the First Crusade ,"Rs.1,158.61",58,$35.00,$35.00
4.1 out of 5 stars,RupertColley,World War One: History in an Hour ,Rs.116.00,145,$2.51,
4.2 out of 5 stars,,The Dark Ages - Book I of III ,Rs.60.00,4,,
4.3 out of 5 stars,HiawathaBray,"You Are Here: From the Compass to GPS, the History and Future of How We Find Ourselves ",Rs.776.44,15,$20.93,$27.99
4.3 out of 5 stars,ScottAddington,World War One: A Layman's Guide ,Rs.268.00,38,,$8.99
4.6 out of 5 stars,ClaireRidgwayClareCherry,"George Boleyn: Tudor Poet, Courtier & Diplomat ",Rs.241.00,20,,$17.99
3.9 out of 5 stars,AmosOzFaniaOz-Salzberger,Jews and Words (Posen Library of Jewish Culture and Civilization) ,Rs.474.06,37,$14.79,$15.00
3.9 out of 5 stars,,Lorenzo de Medici ,Rs.180.00,,,
4.3 out of 5 stars,,Stuka Pilot ,Rs.399.00,,,$19.20
4.3 out of 5 stars,,"Personal Memoirs of Ulysses S Grant, Includes Both Volumes (Optimized for Kindle) ",Rs.55.94,70,,
4.6 out of 5 stars,SusanWiseBauer,The History of the Renaissance World: From the Rediscovery of Aristotle to the Conquest of Constantinople ,"Rs.1,008.04",,$34.50,$35.00
4.4 out of 5 stars,IrvinD.Yalom,The Spinoza Problem: A Novel ,Rs.572.85,112,$11.96,$15.99
4.3 out of 5 stars,RobertM.Edsel,"The Monuments Men: Allied Heroes, Nazi Thieves and the Greatest Treasure Hunt in History ",Rs.336.00,1472,$11.15,$10.00
4.5 out of 5 stars,RichardOvery,"The Bombing War: Europe, 1939-1945 ",Rs.545.13,,,
4.6 out of 5 stars,PennyLeCouteur,Napoleon's Buttons ,Rs.501.32,96,$16.83,$16.95
,MichaelReid,Brazil ,"Rs.1,015.53",,$32.28,$32.50
4.0 out of 5 stars,MichaelRank,Lost Civilizations: 10 Societies that Vanished Without a Trace ,Rs.199.00,43,,$7.99
4.3 out of 5 stars,JungChang,Empress Dowager Cixi: The Concubine Who Launched Modern China ,Rs.344.00,173,$27.91,$30.00
4.3 out of 5 stars,MargalitFox,The Riddle of the Labyrinth: The Quest to Crack an Ancient Code ,Rs.360.63,133,$13.99,$16.99
4.5 out of 5 stars,,The Riddle Of Babi Yar ,Rs.58.00,63,,
4.2 out of 5 stars,YuvalLevin,"The Great Debate: Edmund Burke, Thomas Paine, and the Birth of Right and Left ",Rs.575.99,60,$20.93,$27.99
3.5 out of 5 stars,JayMargolis,The Murder of Marilyn Monroe: Case Closed ,Rs.716.67,11,$18.69,$24.95
4.8 out of 5 stars,JeffreyClement,The Lieutenant Don't Know: One Marine's Story of Warfare and Combat Logistics in Afghanistan ,Rs.597.13,,$17.84,$32.95
4.8 out of 5 stars,,"A History of the English-Speaking Peoples, Vol. 1: The Birth of Britain ",Rs.399.00,27,,
4.3 out of 5 stars,DanielGordis,Menachem Begin: The Battle for Israel's Soul ,Rs.707.71,,$27.95,$27.95
4.7 out of 5 stars,KevinAshman,Medieval II - In Shadows of Kings ,Rs.250.00,20,,$13.95
4.2 out of 5 stars,BradMeltzerKeithFerrell,History Decoded: The 10 Greatest Conspiracies of All Time ,Rs.566.64,,$24.78,$24.95
4.6 out of 5 stars,GaryKinder,Ship of Gold in the Deep Blue Sea: The History and Discovery of the World's Richest Shipwreck ,Rs.597.13,273,$12.71,$16.95
4.8 out of 5 stars,TomYarborough,Da Nang Diary: A Forward Air Controller's Gunsight View of Flying with SOG ,Rs.356.00,43,,$32.95
4.5 out of 5 stars,HannahArendt,Eichmann in Jerusalem: A Report on the Banality of Evil (Penguin Classics) ,Rs.512.21,116,$17.00,$16.00
4.6 out of 5 stars,DavidLaskin,The Family: Three Journeys into the Heart of the Twentieth Century ,Rs.777.04,,$31.78,$32.00
4.3 out of 5 stars,SharanNewman,"Defending the City of God: A Medieval Queen, the First Crusades, and the Quest for Peace in Jerusalem ",Rs.761.50,3,$27.80,$28.00
4.0 out of 5 stars,DavidGraeber,"Debt: The First 5,000 Years ",Rs.192.00,178,$31.08,$22.00
4.5 out of 5 stars,JosephJ.Ellis,Revolutionary Summer: The Birth of American Independence (Vintage) ,Rs.570.95,,$15.95,$15.95
3.8 out of 5 stars,ChristopherHibbert,The House Of Medici: Its Rise and Fall ,Rs.295.54,88,$13.79,$16.99
4.5 out of 5 stars,HowardBlum,Dark Invasion: 1915: Germany's Secret War and the Hunt for the First Terrorist Cell in America ,Rs.817.95,111,$17.99,$27.99
4.5 out of 5 stars,LaurenceBergreen,Over the Edge of the World ,Rs.528.91,324,$13.99,$16.99
4.0 out of 5 stars,HenryMassie,Art of a Jewish Woman: The True Story of How a Penniless Holocaust Escapee Became an Influential Modern Art Connoisseur (formerly titled Felice's Worlds) ,Rs.170.00,134,,
4.2 out of 5 stars,,The War that Ended Peace: How Europe abandoned peace for the First World War ,Rs.585.17,,$12.24,$35.00
4.2 out of 5 stars,KenFollett,On Wings of Eagles ,Rs.213.75,,$7.99,$7.99
4.6 out of 5 stars,SeymourMorrisJr.,Supreme Commander: MacArthur's Triumph in Japan ,Rs.955.76,17,$18.86,$26.99
4.4 out of 5 stars,IanKershaw,Hitler ,Rs.559.55,57,,$25.95
3.3 out of 5 stars,,The Other Tudors ,Rs.373.76,67,$6.90,
3.8 out of 5 stars,NicholasShakespeare,Priscilla: The Hidden Life of an Englishwoman in Wartime France ,Rs.450.86,104,$16.99,$27.99
4.5 out of 5 stars,,Rescue of the Bounty: Disaster and Survival in Superstorm Sandy ,Rs.659.89,,$24.83,$25.00
3.6 out of 5 stars,MarkGarber,Cold Case Reopened: The Princes in the Tower ,Rs.184.00,54,,
5.0 out of 5 stars,,Sky Tinged Red: A Chronicle of Two and a Half Years in Auschwitz ,Rs.602.00,8,,
4.6 out of 5 stars,HenryOrenstein,I Shall Live: Surviving the Holocaust Against All Odds ,Rs.597.13,188,$15.84,$15.95
4.2 out of 5 stars,TomZoellner,Train: Riding the Rails That Created the Modern World-from the Trans-Siberian to the Southwest Chief ,Rs.716.67,44,$27.76,$27.95
4.3 out of 5 stars,SerhiiPlokhy,The Last Empire: The Final Days of the Soviet Union ,Rs.892.79,3,$23.93,$32.00
4.3 out of 5 stars,WilliamRosen,The Third Horseman: Climate Change and the Great Famine of the 14th Century ,Rs.716.67,6,$28.75,$28.95
4.3 out of 5 stars,JackWeatherford,Genghis Khan and the Making of the Modern World ,Rs.354.00,355,$15.00,$15.00
4.5 out of 5 stars,WinstonGroom,"The Aviators: Eddie Rickenbacker, Jimmy Doolittle, Charles Lindbergh, and the Epic Age of Flight ",Rs.895.99,,$29.79,$30.00
3.9 out of 5 stars,MarkKurlansky,Salt: A World History ,Rs.532.38,361,$17.88,$18.00
5.0 out of 5 stars,MiriamRaz-Zunszajn,Like Birds In Black and White ,Rs.61.00,13,,$6.99
,AdamTooze,The Deluge: The Great War and the Remaking of Global Order 1916-1931 ,"Rs.1,142.96",,,$40.00
4.5 out of 5 stars,GeorgeWilson,"If You Survive: From Normandy to the Battle of the Bulge to the End of World War II, One American Officer's Riveting True Story ",Rs.318.25,306,$7.99,$7.99
4.5 out of 5 stars,MichaelRank,"Off the Edge of the Map: Marco Polo, Captain Cook, and 9 Other Travelers and Explorers That Pushed the Boundaries of the Known World ",Rs.199.00,36,,$9.99
4.2 out of 5 stars,NicholasKulishSouadMekhennet,"The Eternal Nazi: From Mauthausen to Cairo, the Relentless Pursuit of SS Doctor Aribert Heim ",Rs.707.71,66,$27.76,$27.95
4.6 out of 5 stars,BillBryson,One Summer: America 1927 ,Rs.331.84,1146,$12.63,$16.95
4.6 out of 5 stars,G.J.Meyer,A World Undone ,Rs.631.74,214,$20.86,$21.00
4.6 out of 5 stars,RodneyStark,How the West Won: The Neglected Story of the Triumph of Modernity ,Rs.249.20,52,$5.91,$27.95
4.0 out of 5 stars,JaredDiamond,Collapse: How Societies Choose to Fail or Succeed: Revised Edition ,Rs.346.75,661,$19.00,$19.00
4.3 out of 5 stars,SheilaHale,Titian ,Rs.869.11,20,$34.25,$39.99
4.6 out of 5 stars,LucyLipiner,Long Journey Home: A Young Girl's Memoir of Surviving the Holocaust ,Rs.59.00,187,,$11.95
4.4 out of 5 stars,MitchellZuckoff,Frozen in Time: An Epic Story of Survival and a Modern Quest for Lost Heroes of World War II (P.S.) ,Rs.328.19,552,$12.99,$15.99
4.5 out of 5 stars,,A Distant Mirror: The Calamitous 14th Century ,Rs.570.06,,$18.00,$18.00
4.6 out of 5 stars,SusanDworkin,The Nazi Officer's Wife: How One Jewish Woman Survived The Holocaust ,Rs.118.85,1545,$1.98,$15.99
4.2 out of 5 stars,StephanTalty,Operation Cowboy: The Secret American Mission to Save the World's Most Beautiful Horses in the Last Days of World War II (Kindle Single) ,Rs.179.00,213,,
4.7 out of 5 stars,,Man's Search for Meaning ,Rs.178.12,1600,$13.90,$9.99
4.5 out of 5 stars,PeterStark,"Astoria: John Jacob Astor and Thomas Jefferson's Lost Pacific Empire: A Story of Wealth, Ambition, and Survival ",Rs.716.67,102,$14.89,$27.99
4.6 out of 5 stars,WilliamL.Shirer,The Rise and Fall of the Third Reich ,Rs.474.69,938,$9.10,$29.99
4.6 out of 5 stars,,America: Imagine a World without Her ,Rs.895.99,31,$22.43,$29.99
4.8 out of 5 stars,RenaKornreichGelissenHeatherDuneMacadam,Rena's Promise: Two Sisters in Auschwitz ,Rs.240.00,,,$18.00
4.0 out of 5 stars,SimonSchama,The Story of the Jews: Finding the Words 1000 BC-1492 AD ,Rs.601.25,91,$23.99,$39.99
4.6 out of 5 stars,,Auschwitz: A Doctor's Eyewitness Account ,Rs.179.96,762,$11.21,$14.95
4.5 out of 5 stars,ChrisKyleScottMcEwenJimDeFelice,American Sniper: Memorial Edition ,Rs.280.25,4111,$9.99,$26.99
4.5 out of 5 stars,StephenE.Ambrose,Citizen Soldiers: The U S Army from the Normandy Beaches to the Bulg ,Rs.402.80,,$18.00,$18.00
4.8 out of 5 stars,,Alex's Wake: A Voyage of Betrayal and a Journey of Remembrance ,Rs.776.44,26,$19.57,$25.99
4.4 out of 5 stars,LarsBrownworth,The Normans: From Raiders to Kings ,Rs.499.00,71,,
4.5 out of 5 stars,CiporaHurwitz,Forbidden Strawberries ,Rs.54.34,147,,$9.99
4.1 out of 5 stars,JohnM.Barry,The Great Influenza: The Story of the Deadliest Pandemic in History ,Rs.542.34,357,$18.00,$18.00
3.4 out of 5 stars,NatalieKelly,The Queen's Betrayal: a novel of Anne Boleyn ,Rs.304.00,9,,
4.5 out of 5 stars,ThomasF.Madden,Venice: A New History ,Rs.477.58,35,$19.86,$20.00
4.4 out of 5 stars,RonaldHAMILTON,Behold The Marshal ,Rs.122.00,77,,$20.95
4.0 out of 5 stars,CharlesRiverEditors,The Fall of Constantinople: The Rise of the Ottoman Empire and the End of the Byzantine Empire ,Rs.199.00,4,,$6.99
4.3 out of 5 stars,StevenA.McKay,Wolf's Head (The Forest Lord Book 1) ,Rs.183.00,87,,$12.95
3.9 out of 5 stars,LelandShanle,"Vengeance; at Midway and Guadalcanal, a novel of war. (Aviator Book 2) ",Rs.328.00,,,$14.95
4.5 out of 5 stars,GrahamMSimons,Valkyrie: The North American XB-70 : The USA's Ill-fated Supersonic Heavy Bomber ,Rs.298.26,26,$5.63,$39.95
4.8 out of 5 stars,,Apollo ,Rs.399.00,,,
4.1 out of 5 stars,StephenHarding,The Last Battle: When U.S. and German Soldiers Joined Forces in the Waning Hours of World War II in Europe ,Rs.644.95,272,$11.96,$15.99
5.0 out of 5 stars,PhilipJenkins,The Great and Holy War: How World War I Became a Religious Crusade ,Rs.473.04,2,$18.99,$29.99
4.4 out of 5 stars,,Air Disaster: The Propeller Era ,Rs.276.00,,,
3.5 out of 5 stars,JMRoberts,The Penguin History of the World: 6th edition ,Rs.830.72,6,,
4.6 out of 5 stars,GlennBeck,Miracles and Massacres: True and Untold Stories of the Making of America ,Rs.649.50,919,$26.81,$27.00
4.2 out of 5 stars,,Saved by the Enemy ,Rs.55.00,130,,$13.95
4.6 out of 5 stars,LouisaLim,The People's Republic of Amnesia: Tiananmen Revisited ,Rs.283.56,8,$9.42,$24.95
4.6 out of 5 stars,NathanielPhilbrick,In the Heart of the Sea: The Tragedy of the Whaleship Essex ,Rs.502.80,563,$16.88,$17.00
4.8 out of 5 stars,MikeGuardia,Hal Moore: A Soldier Once . . . And Always ,Rs.151.44,,$5.91,$32.95
4.4 out of 5 stars,,Ancient Rome: The Rise and Fall of an Empire ,Rs.274.00,98,$12.54,$17.95
4.3 out of 5 stars,,The Greater Journey: Americans in Paris ,Rs.483.55,,$19.86,$20.00
4.0 out of 5 stars,TilarJ.Mazzeo,The Hotel on Place Vendome ,Rs.667.85,88,$17.99,$26.99
3.9 out of 5 stars,JamesW.Loewen,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong ,Rs.652.05,848,$20.19,$17.99
4.6 out of 5 stars,SimonHammelburg,The War Never Ended: Memories of Holocaust Survivors ,Rs.399.00,14,,
4.5 out of 5 stars,,"Auschwitz Revealed: Auschwitz Greatest Mysteries and Famous Survivor Stories Unveiled (Auschwitz Escape, Auschwitz Concentration Camp, Holocaust, Jewish, ... Eyewitness Account, World War 2 Book 1) ",Rs.175.00,32,,
4.6 out of 5 stars,NancyGibbsMichaelDuffy,The Presidents Club: Inside the World's Most Exclusive Fraternity ,Rs.341.05,,$17.88,$18.00
4.7 out of 5 stars,GreggJones,Last Stand at Khe Sanh: The U.S. Marines' Finest Hour in Vietnam ,Rs.770.71,45,$20.33,$26.99
4.0 out of 5 stars,HillelHalkin,Jabotinsky (Jewish Lives) ,Rs.716.67,5,$24.83,$25.00
4.3 out of 5 stars,GeoffreyWawro,A Mad Catastrophe: The Outbreak of World War I and the Collapse of the Habsburg Empire ,Rs.836.99,,$22.43,$29.99
4.5 out of 5 stars,,Stardogs ,Rs.236.00,11,,
4.6 out of 5 stars,AnnaZairesDimaZales,Close Obsession (The Krinar Chronicles: Volume 2) ,Rs.59.00,159,$3.92,$12.99
4.4 out of 5 stars,EdwardW.Robertson,The Breakers Series: Books 1-3 ,Rs.99.00,517,,
4.1 out of 5 stars,FrankHerbert,Children of Dune ,Rs.318.00,184,$7.99,$7.99
4.7 out of 5 stars,BobbyAdair,"Slow Burn: Destroyer, Book 3 ",Rs.103.00,263,,$8.95
3.8 out of 5 stars,ChristianCantrell,Containment ,Rs.177.40,730,,$14.95
4.6 out of 5 stars,CalebWachterLukeSkyWachter,No Middle Ground (Spineward Sectors: Middleton's Pride) ,Rs.179.00,25,,
